CHR	START	END	Gene
CM065528.1	74448000	74448091	ADCY10
CM065528.1	74448424	74448953	ADCY10
CM065528.1	74449056	74449102	MRPL19
CM065528.1	74449154	74449270	MRPL19
CM065528.1	74450431	74450476	MRPL19
CM065528.1	74451460	74451969	MRPL19
CM065528.1	74453802	74452411	C2orf3
CM065528.1	74454330	74454198	C2orf3
CM065528.1	74454775	74454635	C2orf3
CM065528.1	74456790	74456707	C2orf3
CM065528.1	74458008	74457880	C2orf3
CM065528.1	74458365	74458207	C2orf3
CM065528.1	74459302	74459188	C2orf3
CM065528.1	74462043	74461919	C2orf3
CM065528.1	74463068	74462983	C2orf3
CM065528.1	74464123	74463902	C2orf3
CM065528.1	74464828	74464678	C2orf3
CM065528.1	74465110	74465032	ARHGAP33
CM065528.1	74466819	74466891	Tandem_Repeat
CM065528.1	74468340	74468212	ARHGAP33
CM065528.1	74469602	74468742	ARHGAP33
CM065528.1	74470217	74470006	ARHGAP33
CM065528.1	74470734	74470581	ARHGAP33
CM065528.1	74471429	74470996	ARHGAP33
CM065528.1	74471550	74471464	ARHGAP33
CM065528.1	74472276	74472144	ARHGAP33
CM065528.1	74472468	74472357	ARHGAP33
CM065528.1	74473223	74473065	ARHGAP33
CM065528.1	74474109	74474025	ARHGAP33
CM065528.1	74474631	74474509	ARHGAP33
CM065528.1	74475706	74475615	ARHGAP33
CM065528.1	74481435	74481481	MRPL19
CM065528.1	74481533	74481649	MRPL19
CM065528.1	74482806	74482851	MRPL19
CM065528.1	74483855	74484383	MRPL19
CM065528.1	74486210	74484825	C2orf3
CM065528.1	74486739	74486607	C2orf3
CM065528.1	74487195	74487044	C2orf3
CM065528.1	74489205	74489122	C2orf3
CM065528.1	74490116	74490037	C2orf3
CM065528.1	74490716	74490588	C2orf3
CM065528.1	74491073	74490915	C2orf3
CM065528.1	74491996	74491882	C2orf3
CM065528.1	74493042	74492955	C2orf3
CM065528.1	74493885	74493812	C2orf3
CM065528.1	74495561	74495633	Tandem_Repeat
CM065528.1	74497043	74496915	ARHGAP33
CM065528.1	74502448	74502370	ARHGAP33
CM065528.1	74504015	74502833	ARHGAP33
CM065528.1	74504630	74504419	ARHGAP33
CM065528.1	74505147	74504994	ARHGAP33
CM065528.1	74505819	74505409	ARHGAP33
CM065528.1	74505940	74505854	ARHGAP33
CM065528.1	74506391	74506259	ARHGAP33
CM065528.1	74506583	74506472	ARHGAP33
CM065528.1	74507333	74507175	ARHGAP33
CM065528.1	74507897	74507810	ARHGAP33
CM065528.1	74508379	74508295	ARHGAP33
CM065528.1	74508901	74508779	ARHGAP33
CM065528.1	74509981	74509890	ARHGAP33
CM065528.1	74513264	74513489	Tandem_Repeat
CM065528.1	74521911	74521646	ADCY10
CM065528.1	74522214	74522016	ADCY10
