CHR	START	END	Gene
CP100594.1	75091841	75091932	ADCY10
CP100594.1	75092265	75092794	ADCY10
CP100594.1	75092897	75092943	MRPL19
CP100594.1	75092995	75093111	MRPL19
CP100594.1	75094272	75094317	MRPL19
CP100594.1	75095301	75095810	MRPL19
CP100594.1	75096872	75096252	C2orf3
CP100594.1	75097471	75096880	C2orf3
CP100594.1	75098000	75097868	C2orf3
CP100594.1	75098455	75098304	C2orf3
CP100594.1	75100661	75100593	C2orf3
CP100594.1	75101892	75101764	C2orf3
CP100594.1	75102249	75102091	C2orf3
CP100594.1	75103171	75103057	C2orf3
CP100594.1	75104675	75104556	C2orf3
CP100594.1	75108156	75108024	ARHGAP33
CP100594.1	75109418	75108558	ARHGAP33
CP100594.1	75110211	75110000	ARHGAP33
CP100594.1	75110547	75110394	ARHGAP33
CP100594.1	75111218	75110809	ARHGAP33
CP100594.1	75111339	75111253	ARHGAP33
CP100594.1	75112006	75111874	ARHGAP33
CP100594.1	75112198	75112087	ARHGAP33
CP100594.1	75112881	75112729	ARHGAP33
CP100594.1	75113444	75113357	ARHGAP33
CP100594.1	75113926	75113842	ARHGAP33
CP100594.1	75114448	75114326	ARHGAP33
CP100594.1	75115526	75115435	ARHGAP33
CP100594.1	75117999	75118045	MRPL19
CP100594.1	75118097	75118213	MRPL19
CP100594.1	75119354	75119400	MRPL19
CP100594.1	75120392	75120901	MRPL19
CP100594.1	75122737	75121343	C2orf3
CP100594.1	75123267	75123135	C2orf3
CP100594.1	75123722	75123571	C2orf3
CP100594.1	75125959	75125872	C2orf3
CP100594.1	75126867	75126787	C2orf3
CP100594.1	75127565	75127437	C2orf3
CP100594.1	75127922	75127764	C2orf3
CP100594.1	75128691	75128487	C2orf3
CP100594.1	75129405	75129291	C2orf3
CP100594.1	75131357	75131273	C2orf3
