CHR	START	END	Gene
CP100594.1	85749806	85749925	C2orf3
CP100594.1	85750695	85750782	C2orf3
CP100594.1	85751719	85751833	C2orf3
CP100594.1	85752655	85752808	C2orf3
CP100594.1	85753007	85753135	C2orf3
CP100594.1	85754240	85754323	C2orf3
CP100594.1	85756475	85756626	C2orf3
CP100594.1	85756687	85756710	Tandem_Repeat
CP100594.1	85756932	85757064	C2orf3
CP100594.1	85757462	85758850	C2orf3
CP100594.1	85759821	85759292	MRPL19
CP100594.1	85760853	85760808	MRPL19
CP100594.1	85762122	85762008	MRPL19
CP100594.1	85762222	85762176	MRPL19
CP100594.1	85766188	85766279	ARHGAP33
CP100594.1	85767236	85767358	ARHGAP33
CP100594.1	85767757	85767841	ARHGAP33
CP100594.1	85768238	85768325	ARHGAP33
CP100594.1	85768638	85768790	ARHGAP33
CP100594.1	85769385	85769496	ARHGAP33
CP100594.1	85769577	85769709	ARHGAP33
CP100594.1	85770028	85770114	ARHGAP33
CP100594.1	85770149	85770576	ARHGAP33
CP100594.1	85770838	85770991	ARHGAP33
CP100594.1	85771107	85771145	Tandem_Repeat
CP100594.1	85771173	85771384	ARHGAP33
CP100594.1	85771766	85772626	ARHGAP33
CP100594.1	85773011	85773089	ARHGAP33
CP100594.1	85773109	85773623	Tandem_Repeat
CP100594.1	85778924	85778962	Tandem_Repeat
CP100594.1	85780239	85780371	ARHGAP33
