scaffold	start	end	dxy_SILK_KADK	dxy_SILK_WHLH	dxy_KADK_WHLH
Z	1	1000	0.051	0.0531	0.0608
Z	1001	2000	0.0496	0.0453	0.051
Z	4001	5000	0.0434	0.0422	0.0238
Z	5001	6000	0.0225	0.0224	0.0182
Z	13001	14000	0.0423	0.0262	0.0259
Z	14001	15000	0.0248	0.0247	0.0291
Z	15001	16000	0.0106	0.0098	0.0101
Z	16001	17000	0.0072	0.0095	0.0101
Z	17001	18000	0.0063	0.0099	0.0078
Z	18001	19000	0.0095	0.0134	0.01
Z	19001	20000	0.0094	0.0095	0.0094
Z	20001	21000	0.0085	0.0081	0.0073
Z	21001	22000	0.0037	0.0033	0.0042
Z	22001	23000	0.0169	0.0224	0.0172
Z	23001	24000	0.0141	0.012	0.0117
Z	24001	25000	0.0042	0.0062	0.0043
Z	25001	26000	0.0049	0.0045	0.0057
Z	26001	27000	0.007	0.0051	0.0078
Z	27001	28000	0.0098	0.006	0.01
Z	28001	29000	0.0022	0.0015	0.0031
Z	29001	30000	0.0044	0.0046	0.0041
Z	30001	31000	0.0124	0.0188	0.0161
Z	31001	32000	0.0055	0.0032	0.0043
Z	32001	33000	0.0073	0.0073	0.0067
Z	33001	34000	0.0069	0.0064	0.0091
Z	34001	35000	0.0026	0.0044	0.0031
Z	35001	36000	0.0086	0.0098	0.0097
Z	36001	37000	0.0015	0.0015	0.0007
Z	37001	38000	0.0049	0.0002	0.0059
Z	38001	39000	0.0042	0.0	0.0042
Z	39001	40000	0.0098	0.0068	0.0105
Z	40001	41000	0.0085	0.008	0.0099
Z	41001	42000	0.008	0.0067	0.007
Z	42001	43000	0.0062	0.007	0.0096
Z	43001	44000	0.002	0.0009	0.0022
Z	44001	45000	0.0032	0.004	0.0045
Z	45001	46000	0.0051	0.0073	0.0042
Z	46001	47000	0.0041	0.0043	0.0025
Z	47001	48000	0.0043	0.0052	0.0035
Z	48001	49000	0.0038	0.0053	0.0057
Z	49001	50000	0.0046	0.004	0.0031
Z	50001	51000	0.0068	0.007	0.0048
Z	51001	52000	0.0046	0.0061	0.0065
Z	52001	53000	0.0042	0.0047	0.0026
Z	53001	54000	0.0071	0.0064	0.0087
Z	54001	55000	0.0061	0.0068	0.0036
Z	55001	56000	0.0129	0.0119	0.0105
Z	56001	57000	0.0045	0.0043	0.0045
Z	57001	58000	0.0072	0.0075	0.0066
Z	58001	59000	0.0073	0.0039	0.0049
Z	59001	60000	0.0052	0.0059	0.0049
Z	60001	61000	0.0032	0.0057	0.0033
Z	61001	62000	0.0065	0.0084	0.0063
Z	62001	63000	0.006	0.0075	0.0062
Z	63001	64000	0.0062	0.0068	0.0071
Z	64001	65000	0.0112	0.0124	0.0125
Z	65001	66000	0.0005	0.0016	0.0019
Z	66001	67000	0.0072	0.0085	0.0074
Z	67001	68000	0.0024	0.0033	0.0045
Z	68001	69000	0.0032	0.0042	0.0044
Z	69001	70000	0.0012	0.0015	0.0008
Z	70001	71000	0.0047	0.0083	0.0071
Z	71001	72000	0.0089	0.0075	0.0083
Z	72001	73000	0.0026	0.002	0.0031
Z	73001	74000	0.0055	0.0059	0.0057
Z	74001	75000	0.0061	0.0064	0.0054
Z	75001	76000	0.0056	0.0054	0.0035
Z	76001	77000	0.0096	0.012	0.0118
Z	77001	78000	0.0046	0.0058	0.0059
Z	78001	79000	0.0027	0.0042	0.0034
Z	79001	80000	0.0062	0.0085	0.0085
Z	80001	81000	0.0024	0.0029	0.0036
Z	81001	82000	0.0025	0.0019	0.0025
Z	82001	83000	0.0037	0.0074	0.0077
Z	83001	84000	0.0083	0.0129	0.0121
Z	84001	85000	0.0071	0.007	0.0054
Z	85001	86000	0.0164	0.0175	0.0118
Z	86001	87000	0.0069	0.0069	0.0056
Z	87001	88000	0.0019	0.0019	0.0011
Z	88001	89000	0.0054	0.0057	0.003
Z	89001	90000	0.0048	0.0056	0.0014
Z	90001	91000	0.008	0.0056	0.0082
Z	91001	92000	0.0108	0.0064	0.0115
Z	92001	93000	0.0079	0.012	0.008
Z	93001	94000	0.0051	0.0057	0.0056
Z	94001	95000	0.0044	0.0051	0.0022
Z	95001	96000	0.0076	0.0079	0.0027
Z	96001	97000	0.0047	0.0045	0.0022
Z	97001	98000	0.008	0.0053	0.0073
Z	98001	99000	0.0063	0.008	0.0085
Z	99001	100000	0.0044	0.0077	0.0073
Z	100001	101000	0.0037	0.0027	0.0023
Z	101001	102000	0.0095	0.0101	0.0107
Z	102001	103000	0.0016	0.0032	0.0025
Z	103001	104000	0.0033	0.0036	0.0043
Z	104001	105000	0.0015	0.0037	0.0039
Z	105001	106000	0.0044	0.0052	0.0053
Z	106001	107000	0.0086	0.0101	0.0094
Z	107001	108000	0.005	0.0076	0.0048
Z	108001	109000	0.0067	0.0074	0.007
Z	109001	110000	0.0052	0.0067	0.007
Z	110001	111000	0.0092	0.0068	0.0094
Z	111001	112000	0.0038	0.0044	0.0042
Z	112001	113000	0.0055	0.0036	0.0051
Z	113001	114000	0.0067	0.0069	0.0066
Z	114001	115000	0.0097	0.0079	0.0078
Z	115001	116000	0.0099	0.0097	0.0108
Z	116001	117000	0.0075	0.0085	0.0074
Z	117001	118000	0.0032	0.0042	0.0041
Z	118001	119000	0.005	0.0054	0.0028
Z	119001	120000	0.0041	0.0044	0.0044
Z	120001	121000	0.0076	0.0071	0.0056
Z	121001	122000	0.0017	0.0008	0.001
Z	122001	123000	0.004	0.0026	0.0031
Z	123001	124000	0.0056	0.0043	0.0038
Z	124001	125000	0.0049	0.0058	0.0016
Z	125001	126000	0.0026	0.0038	0.0013
Z	126001	127000	0.004	0.0028	0.0024
Z	127001	128000	0.0082	0.0091	0.0069
Z	128001	129000	0.0062	0.006	0.0048
Z	129001	130000	0.0061	0.0085	0.0063
Z	130001	131000	0.0143	0.0157	0.013
Z	131001	132000	0.0066	0.0058	0.0038
Z	132001	133000	0.0126	0.0129	0.0054
Z	133001	134000	0.0077	0.0081	0.0035
Z	134001	135000	0.0062	0.0064	0.0055
Z	135001	136000	0.004	0.0051	0.0036
Z	136001	137000	0.0005	0.0013	0.0013
Z	137001	138000	0.0152	0.0156	0.0154
Z	140001	141000	0.0184	0.0171	0.0176
Z	141001	142000	0.0056	0.0048	0.0035
Z	142001	143000	0.0065	0.0076	0.0013
Z	143001	144000	0.0088	0.0089	0.0015
Z	144001	145000	0.0047	0.0047	0.0011
Z	145001	146000	0.0063	0.0064	0.0083
Z	146001	147000	0.0024	0.0036	0.0056
Z	147001	148000	0.0071	0.0063	0.0094
Z	148001	149000	0.0093	0.0089	0.0072
Z	149001	150000	0.0094	0.0087	0.0082
Z	150001	151000	0.0109	0.0057	0.0092
Z	151001	152000	0.006	0.0051	0.003
Z	152001	153000	0.0054	0.0056	0.0022
Z	153001	154000	0.008	0.0071	0.0033
Z	154001	155000	0.0097	0.0117	0.0079
Z	155001	156000	0.0028	0.0032	0.004
Z	156001	157000	0.0056	0.0088	0.0084
Z	157001	158000	0.0055	0.0043	0.0056
Z	158001	159000	0.0054	0.006	0.0048
Z	159001	160000	0.0069	0.0129	0.0099
Z	160001	161000	0.0048	0.0034	0.0034
Z	161001	162000	0.0048	0.0065	0.0038
Z	162001	163000	0.0044	0.0033	0.0052
Z	163001	164000	0.0044	0.0028	0.0045
Z	164001	165000	0.0085	0.0096	0.0047
Z	165001	166000	0.0053	0.0047	0.0063
Z	166001	167000	0.0086	0.0075	0.0041
Z	167001	168000	0.0038	0.0036	0.004
Z	168001	169000	0.0038	0.0028	0.0039
Z	169001	170000	0.0096	0.0076	0.0092
Z	170001	171000	0.0086	0.0091	0.0037
Z	171001	172000	0.0054	0.0045	0.002
Z	172001	173000	0.0036	0.0043	0.0021
Z	173001	174000	0.003	0.0039	0.0035
Z	174001	175000	0.0085	0.0076	0.0078
Z	175001	176000	0.0056	0.0044	0.0057
Z	176001	177000	0.0056	0.0048	0.0019
Z	177001	178000	0.004	0.0054	0.0053
Z	178001	179000	0.0026	0.0046	0.0045
Z	179001	180000	0.0025	0.0059	0.0044
Z	180001	181000	0.0014	0.0043	0.0038
Z	181001	182000	0.0118	0.0114	0.0064
Z	182001	183000	0.0058	0.0062	0.0054
Z	183001	184000	0.0013	0.0022	0.0027
Z	184001	185000	0.0046	0.0049	0.0063
Z	185001	186000	0.0051	0.0068	0.0077
Z	186001	187000	0.0032	0.0002	0.003
Z	187001	188000	0.0021	0.0015	0.0032
Z	188001	189000	0.0055	0.007	0.0071
Z	189001	190000	0.0041	0.0056	0.0067
Z	190001	191000	0.0027	0.0033	0.0015
Z	191001	192000	0.0067	0.0039	0.0056
Z	192001	193000	0.003	0.0014	0.0032
Z	193001	194000	0.0033	0.0044	0.0043
Z	194001	195000	0.0037	0.0019	0.0034
Z	195001	196000	0.0055	0.0046	0.0046
Z	196001	197000	0.0029	0.0026	0.0024
Z	197001	198000	0.0023	0.0027	0.0011
Z	198001	199000	0.0012	0.0015	0.0006
Z	199001	200000	0.0122	0.0053	0.0095
Z	200001	201000	0.0017	0.002	0.0017
Z	201001	202000	0.0031	0.0051	0.0037
Z	202001	203000	0.0027	0.0026	0.0023
Z	203001	204000	0.0161	0.0157	0.0169
Z	204001	205000	0.0125	0.0093	0.0117
Z	205001	206000	0.0083	0.0066	0.0075
Z	206001	207000	0.0022	0.0023	0.0034
Z	207001	208000	0.0047	0.0049	0.0025
Z	208001	209000	0.0023	0.0028	0.0037
Z	209001	210000	0.0065	0.0056	0.0057
Z	210001	211000	0.0043	0.0068	0.0069
Z	211001	212000	0.0147	0.0184	0.0169
Z	212001	213000	0.0042	0.0058	0.0027
Z	213001	214000	0.0028	0.0028	0.0023
Z	214001	215000	0.0024	0.0025	0.0017
Z	215001	216000	0.0041	0.0025	0.0013
